,Start,End
0,2019-02-12 18:28:52.778512,2019-02-12 18:28:52.871116
1,2019-02-12 18:28:52.903802,2019-02-12 18:28:52.935755
2,2019-02-12 18:29:11.222431,2019-02-12 18:29:11.593164
3,2019-02-12 18:29:22.806068,2019-02-12 18:29:24.744435
4,2019-02-12 18:29:26.792336,2019-02-12 18:29:28.297264
5,2019-02-12 18:29:32.919649,2019-02-12 18:29:33.382831
6,2019-02-12 18:29:36.139995,2019-02-12 18:29:36.170078
7,2019-02-12 18:29:47.784398,2019-02-12 18:29:48.456110
8,2019-02-12 18:30:02.470865,2019-02-12 18:30:03.142799
9,2019-02-12 18:30:03.942145,2019-02-12 18:30:04.283217
10,2019-02-12 18:30:07.798628,2019-02-12 18:30:08.599027
11,2019-02-12 18:30:09.883797,2019-02-12 18:30:09.944458
12,2019-02-12 18:30:11.880281,2019-02-12 18:30:12.951360
13,2019-02-12 18:30:17.419149,2019-02-12 18:30:18.184365
14,2019-02-12 18:30:27.050107,2019-02-12 18:30:27.416785
15,2019-02-12 18:30:36.602712,2019-02-12 18:30:37.496518
16,2019-02-12 18:30:43.415824,2019-02-12 18:30:43.853022
17,2019-02-12 18:30:44.824267,2019-02-12 18:30:50.009842
18,2019-02-12 18:30:50.422881,2019-02-12 18:36:42.425446
19,2019-02-12 18:36:42.621035,2019-02-12 18:36:45.801677
20,2019-02-12 18:36:46.108716,2019-02-12 18:36:54.035044
21,2019-02-12 18:37:01.246250,2019-02-12 18:37:01.643897
22,2019-02-12 18:37:01.675815,2019-02-12 18:37:01.738983
23,2019-02-12 18:37:02.474213,2019-02-12 18:37:02.506501
24,2019-02-12 18:37:04.588766,2019-02-12 18:37:04.621384
25,2019-02-12 18:37:04.653266,2019-02-12 18:37:04.890861
26,2019-02-12 18:37:04.922795,2019-02-12 18:37:04.989934
27,2019-02-12 18:37:05.262236,2019-02-12 18:37:05.788213
28,2019-02-12 18:37:05.851764,2019-02-12 18:37:06.573246
